Airport,Terminal,Date,Hour,U.S. Citizen,,Non U.S. Citizen,,All,,,,,,,,,,,,
,,,,,,,,Wait Times,,Number Of Passengers Time Interval,,,,,,,,,,
,,,,Average Wait,Max Wait,Average Wait,Max Wait,Average Wait,Max Wait,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
,,,,Time,Time,Time,Time,Time,Time,,,,,,,,,,,
ORD,Terminal 5,01-01-2017,0300 - 0400,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0
ORD,Terminal 5,01-01-2017,0400 - 0500,18,51,28,51,20,51,121,160,60,8,0,0,0,13,362,3,10
ORD,Terminal 5,01-01-2017,0600 - 0700,11,49,27,49,20,49,154,81,64,19,0,0,0,10,328,1,10
ORD,Terminal 5,01-01-2017,0700 - 0800,7,24,12,26,10,26,272,88,0,0,0,0,0,10,370,2,12
ORD,Terminal 5,01-01-2017,0800 - 0900,5,25,13,37,10,37,298,121,16,0,0,0,0,11,446,2,12
ORD,Terminal 5,01-01-2017,0900 - 1000,5,37,32,53,20,53,178,69,79,37,0,0,0,12,375,2,12
ORD,Terminal 5,01-01-2017,1000 - 1100,8,20,8,19,8,20,328,40,0,0,0,0,0,15,383,3,10
ORD,Terminal 5,01-01-2017,1100 - 1200,30,89,40,89,33,89,233,182,188,152,119,0,0,32,906,5,19
ORD,Terminal 5,01-01-2017,1200 - 1300,19,83,39,92,28,92,329,279,136,139,85,1,0,32,1001,5,24
ORD,Terminal 5,01-01-2017,1300 - 1400,10,51,17,55,13,55,787,375,41,16,0,0,0,47,1266,6,25
ORD,Terminal 5,01-01-2017,1400 - 1500,10,63,23,70,15,70,1367,486,176,65,12,0,0,88,2194,8,30
ORD,Terminal 5,01-01-2017,1500 - 1600,14,66,31,69,19,69,897,328,266,108,21,0,0,72,1692,8,27
ORD,Terminal 5,01-01-2017,1600 - 1700,13,44,24,47,17,47,479,218,173,12,0,0,0,40,922,4,24
ORD,Terminal 5,01-01-2017,1700 - 1800,15,42,16,41,15,42,755,285,191,0,0,0,0,56,1287,9,15
ORD,Terminal 5,01-01-2017,1800 - 1900,11,43,20,51,13,51,1399,572,156,25,0,0,0,79,2231,11,17
ORD,Terminal 5,01-01-2017,1900 - 2000,18,41,24,41,20,41,252,309,130,0,0,0,0,28,719,3,15
ORD,Terminal 5,01-01-2017,2000 - 2100,6,15,7,17,7,17,261,5,0,0,0,0,0,13,279,1,13
ORD,Terminal 5,01-01-2017,2100 - 2200,9,21,8,18,9,21,271,47,0,0,0,0,0,9,327,2,6
ORD,Terminal 5,01-01-2017,2200 - 2300,26,36,29,41,27,41,1,100,43,0,0,0,0,9,153,1,8
ORD,Terminal 5,01-01-2017,2300 - 0000,7,22,14,23,9,23,108,34,0,0,0,0,0,4,146,1,9
ORD,Terminal 5,01-02-2017,0000 - 0100,15,26,14,26,14,26,79,69,0,0,0,0,0,4,152,1,7
