Country,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Total
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Developed regions,43540,57050,51730,31660,25150,27630,35910,38980,45550,44620,45860,42820,36580,34720,36180,39040,40540,42010,42700,49310,51000,52940,57330,70150,53140,53300,57250,61490,65160,2666680
New Zealand,Oceania,Australia and New Zealand,Developed regions,34370,34440,23920,13620,16900,27070,31240,31610,43960,34060,21670,16680,16410,16140,19530,23400,25600,28120,32500,40200,47230,45570,29500,28000,40710,44680,45550,39120,46960,1797520
United States of America,Northern America,Northern America,Developed regions,10470,12080,12490,11110,11840,12480,12600,13140,13720,14410,14300,13810,13290,13260,15020,16450,16440,16760,18300,18740,18030,19230,18950,18980,18540,18490,17320,19260,20860,900740
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,4170,4380,4980,5480,7450,6820,7200,8840,12960,15200,20450,25790,22130,15960,15880,17940,18550,17450,16520,15250,16410,18620,20200,19220,9740,10070,10270,9680,11030,777280
China,Asia,Eastern Asia,Developing regions,860,870,560,580,1220,2190,1820,2070,2810,4220,3430,8400,6880,4610,4400,8550,12450,8460,10310,13070,16700,22220,29000,33410,29860,28820,32190,42920,54300,774360
Malaysia,Asia,South-Eastern Asia,Developing regions,12390,14420,12820,12330,11690,11100,10620,12320,14160,13160,12240,10340,8650,8430,8780,9550,10890,10740,9420,9160,10900,12520,14810,16880,12540,13130,13890,13540,14950,692740
India,Asia,Southern Asia,Developing regions,1220,1560,1870,2090,2300,2510,2390,2900,2990,2980,3930,6080,5450,3350,4570,6420,5780,6410,7810,8370,10390,9380,9240,15080,18310,19920,27880,41920,58400,583000
Japan,Asia,Eastern Asia,Developed regions,2240,2980,2930,3200,3250,3760,4130,4930,6080,6950,8090,8500,8910,8930,9750,10270,10170,10800,10380,10230,10930,21200,24810,19030,11900,10920,10370,10640,10230,533020
Singapore,Asia,South-Eastern Asia,Developing regions,2850,3560,2950,2940,2910,2920,3250,4640,5330,5120,4870,5420,5810,6290,7250,9010,9390,9580,10150,10980,12080,15390,17310,16020,16340,17520,19350,16990,18080,528600
Indonesia,Asia,South-Eastern Asia,Developing regions,5990,4400,3780,4330,4070,3880,4120,3830,3690,4200,4330,4720,5660,6700,7440,9120,10580,12210,11730,13340,13640,15390,13650,13840,8970,7960,8350,8370,9960,456500
Philippines,Asia,South-Eastern Asia,Developing regions,3610,4050,4430,4510,4010,4700,5720,9870,11510,8060,7410,7740,6230,5080,5720,5470,3990,4330,4580,4910,4750,4650,5290,5460,7160,8070,10040,11160,13760,372540
South Africa,Africa,Southern Africa,Developing regions,3890,4200,4160,3310,2310,3310,5640,5190,4350,3110,2830,2280,2140,2160,4020,4710,5100,6490,8260,9630,9180,10590,8850,9890,7090,7900,7970,8790,13450,341600
Thailand,Asia,South-Eastern Asia,Developing regions,4730,5300,4230,6790,3530,3100,3280,4250,4480,5240,5020,3960,3300,2920,3600,3960,4110,4090,3960,4290,5070,6970,7690,7900,7630,8370,9990,11750,13350,325720
Republic of Korea,Asia,Eastern Asia,Developing regions,390,620,1030,870,880,1180,1800,2310,2330,2670,2690,2980,3440,3180,3680,4280,5670,6360,5570,4950,5630,7420,8650,9640,10210,11670,13950,15390,17240,313360
